step,phase,loss_D,acc_D,loss_G,loss_adv,loss_sup,loss_rec,loss_cov,loss_acf
36,GAN,0.8498085141181946,0.4999999701976776,0.4608660042285919,0.4267353415489197,0.0005514787044376135,0.19996511936187744,0.002637290395796299,0.12011605501174927
37,GAN,0.8333787322044373,0.5,0.48063763976097107,0.4456658959388733,0.0005585979088209569,0.20473161339759827,0.002585336333140731,0.12543423473834991
38,GAN,0.8129204511642456,0.5,0.5030059218406677,0.46727028489112854,0.0005559598212130368,0.21240359544754028,0.002613307209685445,0.10644086450338364
39,GAN,0.7988156676292419,0.49090906977653503,0.5195163488388062,0.48446372151374817,0.0005525691667571664,0.2052369862794876,0.0028264501597732306,0.1262272298336029
40,GAN,0.7844244837760925,0.5,0.5434383153915405,0.5092848539352417,0.0005489666946232319,0.20054829120635986,0.0028125273529440165,0.1169985830783844
41,GAN,0.7702785730361938,0.5,0.5711119174957275,0.5366479158401489,0.0005585733451880515,0.20288369059562683,0.0026867766864597797,0.1137540265917778
42,GAN,0.7588015794754028,0.4999999701976776,0.5960478186607361,0.561435341835022,0.0005499673425219953,0.20132488012313843,0.002830266486853361,0.13394469022750854
43,GAN,0.7454403042793274,0.5,0.6169900298118591,0.582434356212616,0.0005544749437831342,0.20092466473579407,0.002784681972116232,0.13350069522857666
44,GAN,0.7274901270866394,0.5,0.6408476829528809,0.6074782609939575,0.0005605336627922952,0.19692213833332062,0.002779013942927122,0.10330325365066528
45,GAN,0.7125320434570312,0.4999999701976776,0.6648574471473694,0.6308403015136719,0.0005630645318888128,0.19783180952072144,0.002775507280603051,0.1284944713115692
46,GAN,0.7028824090957642,0.5,0.6829798221588135,0.648857831954956,0.0005721909692510962,0.19701159000396729,0.002703770762309432,0.13862861692905426
47,GAN,0.6918242573738098,0.5,0.7105807662010193,0.6753931045532227,0.0005774791352450848,0.20706871151924133,0.0027192546986043453,0.11566972732543945
48,GAN,0.6830030679702759,0.4999999701976776,0.7285954356193542,0.69444739818573,0.0005905353464186192,0.1975986659526825,0.002748719649389386,0.1327095478773117
49,GAN,0.6099187135696411,0.5859375,0.7555233240127563,0.721240758895874,0.0006129259709268808,0.19645076990127563,0.0026006195694208145,0.14490602910518646
50,GAN,0.13240835070610046,0.8203125,0.7743300795555115,0.7387958765029907,0.0006033992976881564,0.20718982815742493,0.0025408989749848843,0.1284654289484024
51,GAN,0.13096807897090912,0.9454545080661774,0.7877918481826782,0.7527207732200623,0.0005981532158330083,0.2044786512851715,0.0025071220006793737,0.12647975981235504
52,GAN,0.12890569865703583,1.0,0.8094629049301147,0.7740727066993713,0.0006032487726770341,0.2050083875656128,0.002414114074781537,0.13783568143844604
53,GAN,0.12790776789188385,1.0,0.8220679759979248,0.7874771356582642,0.0006036295089870691,0.200872540473938,0.002266652649268508,0.12905234098434448
54,GAN,0.12689319252967834,0.9999999403953552,0.8275986909866333,0.7944338321685791,0.0006060138111934066,0.19117003679275513,0.0022866143845021725,0.1301354020833969
55,GAN,0.12631982564926147,0.9921875,0.8426495790481567,0.8096513152122498,0.0006217450718395412,0.18659833073616028,0.0021805118303745985,0.15389713644981384
